timestamp,open (MYR),high (MYR),low (MYR),close (MYR),open (USD),high (USD),low (USD),close (USD),volume,market cap (USD)
2022-05-20,135041.80588000,137082.22782000,127963.42000000,130061.29854000,30319.22000000,30777.33000000,28730.00000000,29201.01000000,60517.25325000,60517.25325000
2022-05-19,127898.07982000,136048.23172000,127791.40652000,135041.85042000,28715.33000000,30545.18000000,28691.38000000,30319.23000000,67877.36415000,67877.36415000
2022-05-18,135601.71822000,136782.29546000,127627.00938000,127898.03528000,30444.93000000,30709.99000000,28654.47000000,28715.32000000,59749.15799000,59749.15799000
2022-05-17,133058.84054000,137131.39998000,131171.99252000,135601.71822000,29874.01000000,30788.37000000,29450.38000000,30444.93000000,56724.13307000,56724.13307000
2022-05-16,139538.87606000,139538.92060000,129553.67616000,133058.84054000,31328.89000000,31328.90000000,29087.04000000,29874.01000000,73082.19658000,73082.19658000
2022-05-15,134006.33996000,140122.84000000,131303.92000000,139538.87606000,30086.74000000,31460.00000000,29480.00000000,31328.89000000,46275.66912000,46275.66912000
2022-05-14,130444.52070000,135148.92458000,127518.02000000,134006.33996000,29287.05000000,30343.27000000,28630.00000000,30086.74000000,51095.87863000,51095.87863000
2022-05-13,129298.46196000,138445.32998000,128059.93818000,130444.52070000,29029.74000000,31083.37000000,28751.67000000,29287.05000000,97872.36957000,97872.36957000
2022-05-12,129628.94876000,134702.32200000,118921.80000000,129298.50650000,29103.94000000,30243.00000000,26700.00000000,29029.75000000,204507.26313800,204507.26313800
2022-05-11,138150.20794000,143252.17586000,123754.39000000,129628.94876000,31017.11000000,32162.59000000,27785.00000000,29103.94000000,207063.73927800,207063.73927800
2022-05-10,133950.62042000,145463.14146000,132419.20160000,138150.16340000,30074.23000000,32658.99000000,29730.40000000,31017.10000000,165532.00311000,165532.00311000
2022-05-09,151606.98906000,152518.99010000,133768.45182000,133959.88474000,34038.39000000,34243.15000000,30033.33000000,30076.31000000,191876.92642800,191876.92642800
2022-05-08,157994.06960000,158180.33588000,150161.93330000,151607.03360000,35472.40000000,35514.22000000,33713.95000000,34038.40000000,72445.64344000,72445.64344000
2022-05-07,160405.33158000,160995.62020000,154932.39000000,157994.02506000,36013.77000000,36146.30000000,34785.00000000,35472.39000000,34281.70682000,34281.70682000
2022-05-06,162806.92838000,163353.25602000,157039.13200000,160405.33158000,36552.97000000,36675.63000000,35258.00000000,36013.77000000,68437.80187000,68437.80187000
2022-05-05,176779.26000000,177471.90154000,158437.24260000,162806.92838000,39690.00000000,39845.51000000,35571.90000000,36552.97000000,88722.43355000,88722.43355000
2022-05-04,168044.74330000,178265.87158000,167782.18000000,176779.26000000,37728.95000000,40023.77000000,37670.00000000,39690.00000000,62574.61736000,62574.61736000
2022-05-03,171591.06264000,172153.82554000,167104.28120000,168044.74330000,38525.16000000,38651.51000000,37517.80000000,37728.95000000,40316.45358000,40316.45358000
2022-05-02,171338.03090000,174451.33236000,169483.60800000,171591.06264000,38468.35000000,39167.34000000,38052.00000000,38525.16000000,53200.92628000,53200.92628000
2022-05-01,167607.58320000,172258.45000000,166518.93652000,171338.03090000,37630.80000000,38675.00000000,37386.38000000,38468.35000000,38812.24104000,38812.24104000
2022-04-30,171907.07394000,172794.62252000,167373.30280000,167607.58320000,38596.11000000,38795.38000000,37578.20000000,37630.80000000,35321.18989000,35321.18989000
2022-04-29,177011.13524000,177827.06350000,170031.45000000,171907.07394000,39742.06000000,39925.25000000,38175.00000000,38596.11000000,51453.65715000,51453.65715000
2022-04-28,174755.89688000,179819.69402000,173177.88922000,177011.17978000,39235.72000000,40372.63000000,38881.43000000,39742.07000000,56086.67150000,56086.67150000
2022-04-27,169753.69856000,175820.40288000,168723.35474000,174755.89688000,38112.64000000,39474.72000000,37881.31000000,39235.72000000,57083.12272000,57083.12272000
2022-04-26,180057.76032000,181711.21874000,167925.86604000,169753.74310000,40426.08000000,40797.31000000,37702.26000000,38112.65000000,66650.25800000,66650.25800000
2022-04-25,175710.83448000,180903.66400000,170142.80000000,180057.76032000,39450.12000000,40616.00000000,38200.00000000,40426.08000000,63037.12784000,63037.12784000
2022-04-24,175672.93094000,177892.76000000,173392.52748000,175710.87902000,39441.61000000,39940.00000000,38929.62000000,39450.13000000,26703.61186000,26703.61186000
2022-04-23,176864.73226000,178070.92000000,174975.39000000,175672.88640000,39709.19000000,39980.00000000,39285.00000000,39441.60000000,20291.42375000,20291.42375000
2022-04-22,180297.96454000,181701.19724000,174494.35800000,176864.68772000,40480.01000000,40795.06000000,39177.00000000,39709.18000000,46664.01960000,46664.01960000
2022-04-21,184209.37826000,191415.10400000,177050.95400000,180297.96454000,41358.19000000,42976.00000000,39751.00000000,40480.01000000,59316.27657000,59316.27657000
2022-04-20,184810.66826000,187954.34600000,181812.28000000,184209.37826000,41493.19000000,42199.00000000,40820.00000000,41358.19000000,40877.35041000,40877.35041000
2022-04-19,181728.23302000,185999.04000000,180703.23400000,184810.62372000,40801.13000000,41760.00000000,40571.00000000,41493.18000000,35788.85843000,35788.85843000
2022-04-18,176726.30194000,183133.91542000,171641.61554000,181728.23302000,39678.11000000,41116.73000000,38536.51000000,40801.13000000,54243.49575000,54243.49575000
2022-04-17,179846.72980000,180813.11418000,176138.64118000,176726.34648000,40378.70000000,40595.67000000,39546.17000000,39678.12000000,19988.49259000,19988.49259000
2022-04-16,180618.16260000,181319.44490000,178122.36370000,179846.77434000,40551.90000000,40709.35000000,39991.55000000,40378.71000000,15805.44718000,15805.44718000
2022-04-15,177903.31598000,182036.58344000,177119.54560000,180618.16260000,39942.37000000,40870.36000000,39766.40000000,40551.90000000,24026.35739000,24026.35739000
2022-04-14,183272.21212000,184841.00000000,176164.34076000,177903.36052000,41147.78000000,41500.00000000,39551.94000000,39942.38000000,36807.01401000,36807.01401000
2022-04-13,178493.82730000,185114.07474000,176327.35716000,183272.25666000,40074.95000000,41561.31000000,39588.54000000,41147.79000000,41342.27254000,41342.27254000
2022-04-12,176068.62430000,181273.34600000,174840.12202000,178493.78276000,39530.45000000,40699.00000000,39254.63000000,40074.94000000,57751.01778000,57751.01778000
2022-04-11,187775.51790000,188915.11834000,174596.80000000,176068.62430000,42158.85000000,42414.71000000,39200.00000000,39530.45000000,63560.44721000,63560.44721000
2022-04-10,190426.13784000,193349.47620000,186480.07200000,187775.51790000,42753.96000000,43410.30000000,41868.00000000,42158.85000000,22771.09403000,22771.09403000
2022-04-09,188190.49708000,190631.20000000,187626.88792000,190426.18238000,42252.02000000,42800.00000000,42125.48000000,42753.97000000,17891.66047000,17891.66047000
